A,B,C,G,Va,Vb,Vc,Ia,Ib,Ic
0,0,0,0,-1.15467287,6.408685555,-5.254012685,60.49987695,-21.26532124,-39.23455571
0,0,0,0,-3.74093399,6.821089331,-3.080155341,51.36204031,3.428051302,-54.79009162
0,0,0,0,-5.578969352,6.204177638,-0.6252082841,35.42632244,25.69833365,-61.12465611
0,0,0,0,-6.531994615,4.998723014,1.533271603,17.97516616,41.83968089,-59.81484707
0,0,0,0,-6.416192184,1.177615009,5.23857718,-21.07052892,60.45948756,-39.38895863
0,0,0,0,-5.453893841,-0.8349663147,6.28886016,-36.96020286,60.91511747,-23.95491461
0,0,0,0,-3.945289953,-2.856305546,6.801595502,-50.10655071,55.74774874,-5.641198015
0,0,0,0,-3.342227484,-3.487736844,6.829964331,-53.52953381,52.76610116,0.7634326683
0,0,0,0,-2.007988806,-4.649786916,6.657775724,-58.66497685,44.95055376,13.7144231
0,0,0,0,0.1123069208,-5.970218717,5.857911798,-61.36540392,29.80016414,31.5652398
0,0,0,0,1.153185799,-6.406389129,5.253203331,-60.49108205,21.2627658,39.22831626
0,0,0,0,3.62729074,-6.824831835,3.197541096,-51.99706847,-2.238712673,54.23578115
0,0,0,0,5.564761093,-6.210412793,0.6456517009,-35.57056583,-25.53065138,61.10121722
0,0,0,0,6.497784871,-5.067816725,-1.429968147,-18.87487088,-41.14021931,60.0150902
0,0,0,0,6.790906263,-4.017079661,-2.773826603,-6.452367364,-49.63317698,56.08554426
0,0,0,0,6.808030023,-2.943526879,-3.864503142,4.775586343,-55.38108045,50.60549403
0,0,0,0,6.446324261,-1.271498524,-5.174825736,20.2479147,-60.3034378,40.05552302
0,0,0,0,5.782815259,0.2544724574,-6.037287713,32.63911615,-61.33668563,28.6975694
0,0,0,0,4.814311242,1.787745453,-6.602056689,43.52384085,-59.24345007,15.71960914
0,0,0,0,3.204251133,3.621444358,-6.825695482,54.19684516,-52.05178687,-2.145058466
0,0,0,0,3.019592023,3.795707195,-6.815299208,55.04690041,-51.0399217,-4.006978877
0,0,0,0,2.850217295,3.950267661,-6.800484946,55.77183171,-50.08442728,-5.687404596
0,0,0,0,2.574394201,4.191664322,-6.766058513,56.84548658,-48.47498499,-8.370501761
0,0,0,0,1.900398034,4.73157,-6.631968021,58.95069365,-44.28299702,-14.6676968
0,0,0,0,1.35635434,5.119521913,-6.475876237,60.15363844,-40.65099095,-19.50264766
0,0,0,0,-0.3020011366,6.061263221,-5.759262069,61.32123598,-28.33045699,-32.99077914
0,0,0,0,-2.330578311,6.727098602,-4.39652027,57.70536795,-10.73689115,-46.96847693
0,0,0,0,-4.068378108,6.78811894,-2.719740807,49.32276046,6.977554127,-56.30031471
0,0,0,0,-5.593325749,6.195835121,-0.6025093424,35.26613718,25.87293885,-61.13907614
0,0,0,0,-6.489564475,5.098004515,1.391559992,19.22591476,40.86791279,-60.09382765
0,0,0,0,-6.641972556,4.711522958,1.930449631,14.42524611,44.45436515,-58.87961136
0,0,0,0,-6.83051796,3.582607534,3.247910461,1.733896894,52.26773791,-54.0016349
0,0,0,0,-6.475508657,1.348917279,5.126591418,-19.6002826,60.17330682,-40.57302434
0,0,0,0,-6.045166029,0.2645728849,5.780593187,-28.61848674,61.33409328,-32.71560665
0,0,0,0,-5.807279018,-0.2140800276,6.021359089,-32.35069991,61.34926771,-28.99856791
0,0,0,0,-5.295263612,-1.091554519,6.386818176,-38.79882377,60.58939719,-21.79057354
0,0,0,0,-4.150772486,-2.624114905,6.774887438,-48.76275618,56.6661282,-7.903372119
0,0,0,0,-4.03463731,-2.757394707,6.792032064,-49.54313026,56.15261871,-6.609488551
0,0,0,0,-3.98362127,-2.814904945,6.798526262,-49.87517383,55.92166347,-6.046489739
0,0,0,0,-3.5097284,-3.321174195,6.830902643,-52.66958368,53.63144834,-0.9618647582
0,0,0,0,-3.497314756,-3.33379881,6.831113614,-52.73617277,53.56815107,-0.8319784007
0,0,0,0,-3.469520691,-3.361953728,6.831474467,-52.88410834,53.42585042,-0.5417421862
0,0,0,0,-3.460861272,-3.37069423,6.83155555,-52.92987342,53.38135315,-0.4514798279
0,0,0,0,-3.449683178,-3.381955078,6.831638304,-52.98872237,53.32379974,-0.3350774714
0,0,0,0,-3.443335011,-3.388339275,6.831674335,-53.02202958,53.29105762,-0.2690281424
0,0,0,0,-3.428254707,-3.403473425,6.83172818,-53.10082271,53.21311281,-0.1122902024
0,0,0,0,-3.421553059,-3.4101847,6.831737807,-53.13568978,53.17840014,-0.04271046026
0,0,0,0,-3.404502796,-3.42721993,6.831722774,-53.22398815,53.0898795,0.1341085444
0,0,0,0,-3.394257641,-3.437428848,6.831686537,-53.27676259,53.03654813,0.2402143566
0,0,0,0,-3.376853913,-3.454724411,6.831578372,-53.36592842,52.94571087,0.420217446
0,0,0,0,-3.359063761,-3.472343617,6.831407426,-53.45644759,52.85254348,0.6039040104
0,0,0,0,-3.343399628,-3.48780694,6.831206616,-53.53562744,52.77024919,0.7653781461
0,0,0,0,-3.330852924,-3.500158977,6.831011949,-53.59869824,52.70415741,0.894540731
0,0,0,0,-3.316030354,-3.51471296,6.830743362,-53.67280898,52.62587686,1.046932026
0,0,0,0,-3.195059083,-3.631949982,6.827009113,-54.26164715,51.97900614,2.282640914
0,0,0,0,-2.952610662,-3.858911032,6.811521743,-55.35875051,50.64104167,4.717708746
0,0,0,0,-2.783785115,-4.010914971,6.794700135,-56.06006597,49.67805024,6.382015633
0,0,0,0,-2.477203488,-4.274932593,6.752136131,-57.20895815,47.8669418,9.342016253
0,0,0,0,-2.0163866,-4.644305613,6.660692264,-58.65086371,45.00210507,13.64875855
0,0,0,0,-0.3384270771,-5.739205614,6.077632744,-61.30625933,33.27320551,28.03305367
0,0,0,0,0.09481385519,-5.96242833,5.867614528,-61.37480905,29.93623197,31.43857694
0,0,0,0,1.240703875,-6.437299597,5.196595777,-60.35750135,20.51115414,39.84634708
0,0,0,0,3.104738931,-6.820936867,3.716197995,-54.6680755,3.161575002,51.50650037
0,0,0,0,5.620695179,-6.170188061,0.5494929581,-34.86396139,-26.31810158,61.18206234
0,0,0,0,6.531882339,-4.992860112,-1.53902213,-17.92009727,-41.8789961,59.79909278
0,0,0,0,6.796742353,-3.976470448,-2.820271796,-5.999927695,-49.89914256,55.8990697
0,0,0,0,6.803210547,-2.883631681,-3.919578745,5.373446903,-55.63522599,50.26177856
0,0,0,0,6.453856632,-1.292480206,-5.16137629,20.07142174,-60.26446537,40.19304312
0,0,0,0,4.821417569,1.778209909,-6.599627319,43.46513788,-59.25638036,15.79124203
0,0,0,0,3.485109197,3.343957866,-6.829066891,52.77891684,-53.5135104,0.7345931385
0,0,0,0,2.56249043,4.2012529,-6.763743151,56.88777896,-48.38774233,-8.500037026
0,0,0,0,1.948932343,4.694228919,-6.643161079,58.81987885,-44.57887711,-14.24100214
0,0,0,0,1.549150001,4.985891491,-6.535041306,59.77236083,-41.94388012,-17.82848109
0,0,0,0,0.5173345463,5.639017074,-6.156351428,61.19642913,-34.62598295,-26.57044655
0,0,0,0,-0.06055938811,5.944750573,-5.884190989,61.37078877,-30.21584576,-31.15494337
0,0,0,0,-1.482655873,6.515012456,-5.032356379,59.91085223,-18.41848439,-41.49236818
0,0,0,0,-3.47089179,6.829493293,-3.358601289,52.8603657,0.5802171049,-53.44058311
0,0,0,0,-4.893633043,6.572900194,-1.679266928,42.81841383,16.67403054,-59.49244465
0,0,0,0,-5.396338651,6.323806309,-0.9274674316,37.62656045,23.1825838,-60.80914452
0,0,0,0,-6.569324901,4.903452342,1.665872797,16.80627484,42.72292297,-59.52919805
0,0,0,0,-6.472435023,1.34552873,5.126906546,-19.60411906,60.17737264,-40.5732538
0,0,0,0,-5.459267941,-0.8265935128,6.285861715,-36.8838474,60.93410947,-24.05026227
0,0,0,0,-4.767287508,-1.853938661,6.621226434,-43.95273354,59.08422733,-15.13149397
0,0,0,0,-4.669845187,-1.983314655,6.653160106,-44.78950059,58.7443984,-13.95489799
